Dark Matter is the model of Cold Dark Matter Cosmological Model.
Cold Dark Matter Cosmological Model requires Dark Energy.
Dark Matter is the major component of Elementary Particle.
Baryons is the inventory shortfall of Cosmic Microwave Background Fluctuations.
Baryons is the possible component of Baryonic Dark Matter.
Dark Matter is the major component of Molecular Clouds.
Molecular Clouds is the prediction of Gamma-Ray Emission.
Dense Gas Clouds is the prediction of Gamma-Ray Emission.
Dense Gas Clouds is the flux source of Galactic Plane.
Diffuse Gas is the contrast of Interstellar Medium.
Cosmic-Ray Interactions is the interactions of Dense Gas Clouds.
Cosmic-Ray Interactions uses Geant4.
Cosmic Rays involves Hadronic Processes.
Hadronic Processes is the process of Fission.
Hadronic Processes is the process of Capture.
Hadronic Processes is the process of Elastic Scattering.
Hadronic Processes is the process of Inelastic Final State Production.
Geant4 is the calculation of Gamma-Ray Production Spectra.
Geant4 is the challenge overcome of Energy Deposition Distribution.
Molecular Hydrogen is the irradiation of Protons.
Molecular Hydrogen is the irradiation of Electrons.
Cosmic-Ray Proton Spectra uses Geant4.
Cosmic-Ray Electron Spectra uses Geant4.
Xmath119 is the calculation of Xmath117.
Xmath120 is the consideration of Xmath121.
Xmath117 is the calculation of Xmath108.
Xmath108 is the adoption of Xmath122.
Xmath122 is the representation of Xmath123.
Xmath123 is the definition of Xmath124.
Xmath123 is the definition of Xmath125.
Xmath123 is the definition of Xmath126.
Xmath108 is the consideration of Xmath127.
Xmath108 is the calculation of Xmath130.
Xmath130 is the representation of Xmath131.
Xmath131 is the representation of Xmath132.
Xmath132 is the definition of Xmath133.
Xmath132 is the definition of Xmath134.
Xmath132 is the definition of Xmath135.
Xmath132 is the definition of Xmath136.
Xmath117 is the computation of Xmath137.
Xmath117 is the evaluation of Xmath138.
Xmath117 is the evaluation of Xmath139.
Xmath117 is the evaluation of Xmath140.
Xmath117 is the evaluation of Xmath141.
Xmath117 is the evaluation of Xmath142.
Xmath117 is the computation of Xmath143.
Xmath144 is the observation of Xmath145.
Xmath146 is the argument of Xmath147.
Xmath147 is the limitation of Xmath148.
Xmath149 is the calculation of Xmath150.
Xmath151 is the requirement of Xmath152.
Xmath153 is the argument of Xmath154.
Xmath154 is the argument of Xmath155.
Xmath156 is the calculation of Xmath157.
Xmath157 is the prediction of Xmath158.
Xmath159 is the comparison of Xmath160.
Xmath161 is the observation of Xmath162.
Xmath162 is the definition of Xmath163.
Xmath162 is the definition of Xmath164.
Xmath162 is the definition of Xmath165.
Xmath162 is the definition of Xmath166.
Xmath164 is the uncertainty of Xmath167.
Xmath167 is the determination of Xmath168.
Xmath168 is the uncertainty of Xmath169.
Xmath169 is the observation of Xmath170.
Xmath170 is the adoption of Xmath171.
Xmath172 is the observation of Xmath173.
Xmath173 is the constraint of Xmath174.
Xmath175 is the constraint of Xmath176.
Xmath177 is the observation of Xmath178.
Xmath179 is the calculation of Xmath180.
Xmath180 is the implication of Xmath181.
Xmath181 is the requirement of Xmath182.
Xmath183 is the calculation of Xmath184.
Xmath185 is the calculation of Xmath186.
Xmath152 is the contrast of Xcite.
Xcite is the emissivity decline of Xmath187.
Xmath187 is the emissivity decline of Xmath188.
Xmath176 is the not exclude baryonic models of Xmath152.
